"scale","ethical_principle","diff"
"scale = 1","generosity",0.094502777
"scale = 1","tradition
 compliance",-0.062932555
"scale = 1","reward
 labor",0.188130597
"scale = 1","reward
 land",0.240747476
"scale = 1","reward
 resource",-0.0957934362
"scale = 1","reward labor
 and land",-0.00378634999999999
"scale = 1","reward labor
 and resource",0.020029044
"scale = 1","reward land
 and resource",0.022301464
"scale = 1","reward
 all three",0.121428374
"scale = 1","selfishness",-0.298408691
"scale = 1","generosity",-0.091305164
"scale = 1","tradition
 compliance",-0.089434988
"scale = 1","reward
 labor",0.076853699
"scale = 1","reward
 land",0.107163589
"scale = 1","reward
 resource",0.007118428
"scale = 1","reward labor
 and land",0.28928812
"scale = 1","reward labor
 and resource",-0.071903212
"scale = 1","reward land
 and resource",0.1030674028
"scale = 1","reward
 all three",-0.03243918
"scale = 1","selfishness",0.093119465
"scale = 1","generosity",0.043307575
"scale = 1","tradition
 compliance",0.133435436
"scale = 1","reward
 labor",-0.095459925
"scale = 1","reward
 land",-0.056867459
"scale = 1","reward
 resource",-0.02768743
"scale = 1","reward labor
 and land",-0.068421408
"scale = 1","reward labor
 and resource",0.328179509
"scale = 1","reward land
 and resource",-0.356864525
"scale = 1","reward
 all three",0.00725876
"scale = 1","selfishness",0.0943068724
"scale = 1","generosity",0.016870593
"scale = 1","tradition
 compliance",0.143538261
"scale = 1","reward
 labor",-0.241219795
"scale = 1","reward
 land",0.057387932
"scale = 1","reward
 resource",0.115759868
"scale = 1","reward labor
 and land",-0.0892184096
"scale = 1","reward labor
 and resource",0.252021017
"scale = 1","reward land
 and resource",-0.38368942
"scale = 1","reward
 all three",0.034243071
"scale = 1","selfishness",0.1496518929
"scale = 1","generosity",0.014534662
"scale = 1","tradition
 compliance",0.096919924
"scale = 1","reward
 labor",-0.231904709
"scale = 1","reward
 land",0.080246957
"scale = 1","reward
 resource",0.112648404
"scale = 1","reward labor
 and land",-0.102133624
"scale = 1","reward labor
 and resource",0.192141911
"scale = 1","reward land
 and resource",-0.361020408
"scale = 1","reward
 all three",0.048914992
"scale = 1","selfishness",-0.299584185
"scale = 1","generosity",0.077941139
"scale = 1","tradition
 compliance",-0.191505805
"scale = 1","reward
 labor",0.1842453949
"scale = 1","reward
 land",-0.00950804
"scale = 1","reward
 resource",-0.020150237
"scale = 1","reward labor
 and land",0.279390739
"scale = 1","reward labor
 and resource",0.003438589
"scale = 1","reward land
 and resource",0.0440944546
"scale = 1","reward
 all three",-0.068362052
"scale = 1","selfishness",-0.1252971277
"scale = 1","generosity",0.06107762
"scale = 1","tradition
 compliance",-0.1257511583
"scale = 1","reward
 labor",0.499583797
"scale = 1","reward
 land",-0.4028313123
"scale = 1","reward
 resource",-0.043278231
"scale = 1","reward labor
 and land",0.154207557
"scale = 1","reward labor
 and resource",-0.0281605375
"scale = 1","reward land
 and resource",0.025402278
"scale = 1","reward
 all three",-0.014952901
"scale = 1","selfishness",0.128562644
"scale = 1","generosity",-0.0583271799
"scale = 1","tradition
 compliance",0.157686545
"scale = 1","reward
 labor",-0.220878186
"scale = 1","reward
 land",0.267957079
"scale = 1","reward
 resource",-0.011093007
"scale = 1","reward labor
 and land",-0.2232271867
"scale = 1","reward labor
 and resource",0.06922365
"scale = 1","reward land
 and resource",-0.0461431712
"scale = 1","reward
 all three",-0.063761196
"scale = 1","selfishness",0.005386638
"scale = 1","generosity",0.352092716
"scale = 1","tradition
 compliance",-0.352072445
"scale = 1","reward
 labor",-0.11032933
"scale = 1","reward
 land",-0.017567612
"scale = 1","reward
 resource",0.102639433
"scale = 1","reward labor
 and land",-0.058599032
"scale = 1","reward labor
 and resource",-0.060890598
"scale = 1","reward land
 and resource",0.127825986
"scale = 1","reward
 all three",0.011514244
"scale = 1","selfishness",-0.026334534
"scale = 1","generosity",-0.05178808
"scale = 1","tradition
 compliance",0.587398746
"scale = 1","reward
 labor",-0.0447358063
"scale = 1","reward
 land",0.096763615
"scale = 1","reward
 resource",0.029944153
"scale = 1","reward labor
 and land",-0.004869215
"scale = 1","reward labor
 and resource",-0.025965204
"scale = 1","reward land
 and resource",-0.532396701
"scale = 1","reward
 all three",-0.028016978
"scale = 1","selfishness",-0.1240216145
"scale = 1","generosity",0.779951183
"scale = 1","tradition
 compliance",-0.226602507
"scale = 1","reward
 labor",-0.20639506
"scale = 1","reward
 land",-0.0259576744
"scale = 1","reward
 resource",-0.017916515
"scale = 1","reward labor
 and land",-0.058967253
"scale = 1","reward labor
 and resource",-0.071357356
"scale = 1","reward land
 and resource",-0.0393725283
"scale = 1","reward
 all three",-0.0093606784
"scale = 1","selfishness",0.33939959
"scale = 1","generosity",0.079025936
"scale = 1","tradition
 compliance",0.0870278
"scale = 1","reward
 labor",0.043386825
"scale = 1","reward
 land",0.030770603
"scale = 1","reward
 resource",-0.037969524
"scale = 1","reward labor
 and land",-0.156036918
"scale = 1","reward labor
 and resource",-0.00714633
"scale = 1","reward land
 and resource",-0.115638789
"scale = 1","reward
 all three",-0.262819194
"scale = 1","selfishness",-0.066667768
"scale = 1","generosity",-0.172252924
"scale = 1","tradition
 compliance",-0.024262743
"scale = 1","reward
 labor",-0.133484645
"scale = 1","reward
 land",-0.168694684
"scale = 1","reward
 resource",0.122591388
"scale = 1","reward labor
 and land",0.131891722
"scale = 1","reward labor
 and resource",-0.010514675
"scale = 1","reward land
 and resource",0.021958924
"scale = 1","reward
 all three",0.299435398
"scale = 1","selfishness",0.572288968
"scale = 1","generosity",0.012482382
"scale = 1","tradition
 compliance",0.02289748
"scale = 1","reward
 labor",0.026260092
"scale = 1","reward
 land",0.003865426
"scale = 1","reward
 resource",-0.147200871
"scale = 1","reward labor
 and land",-0.06658045
"scale = 1","reward labor
 and resource",0.04586389
"scale = 1","reward land
 and resource",-0.172981576
"scale = 1","reward
 all three",-0.296895338
"scale = 1","selfishness",-0.1097933705
"scale = 1","generosity",-0.028167328
"scale = 1","tradition
 compliance",0.011254861
"scale = 1","reward
 labor",-0.129144821
"scale = 1","reward
 land",-0.11606386
"scale = 1","reward
 resource",0.064726434
"scale = 1","reward labor
 and land",0.367952142
"scale = 1","reward labor
 and resource",-0.233062838
"scale = 1","reward land
 and resource",0.047999499
"scale = 1","reward
 all three",0.124299277
"scale = 1","selfishness",0.08712106
"scale = 1","generosity",0.189247155
"scale = 1","tradition
 compliance",-0.03413223
"scale = 1","reward
 labor",0.171031221
"scale = 1","reward
 land",-0.057339395
"scale = 1","reward
 resource",-0.065486133
"scale = 1","reward labor
 and land",-0.0278589604
"scale = 1","reward labor
 and resource",0.060954351
"scale = 1","reward land
 and resource",-0.059350793
"scale = 1","reward
 all three",-0.264186269
"scale = 1","selfishness",-0.036726605
"scale = 1","generosity",-0.1557864166
"scale = 1","tradition
 compliance",0.050633435
"scale = 1","reward
 labor",0.009387706
"scale = 1","reward
 land",-0.392964004
"scale = 1","reward
 resource",0.447441257
"scale = 1","reward labor
 and land",-0.016406895
"scale = 1","reward labor
 and resource",0.143383074
"scale = 1","reward land
 and resource",0.032988103
"scale = 1","reward
 all three",-0.081949657
"scale = 1","selfishness",-0.07751253
"scale = 1","generosity",0.019678415
"scale = 1","tradition
 compliance",-0.0108188362
"scale = 1","reward
 labor",0.005932323
"scale = 1","reward
 land",-0.335406173
"scale = 1","reward
 resource",0.687192767
"scale = 1","reward labor
 and land",0.001341761
"scale = 1","reward labor
 and resource",-0.129215533
"scale = 1","reward land
 and resource",0.086054117
"scale = 1","reward
 all three",-0.2472463155
"scale = 1","selfishness",-0.0149160587
"scale = 1","generosity",0.017844057
"scale = 1","tradition
 compliance",0.028033451
"scale = 1","reward
 labor",-0.093781245
"scale = 1","reward
 land",0.0828040604
"scale = 1","reward
 resource",-0.0377037142
"scale = 1","reward labor
 and land",0.54976688
"scale = 1","reward labor
 and resource",0.0520173905
"scale = 1","reward land
 and resource",-0.6055134771
"scale = 1","reward
 all three",0.0214486512
"scale = 1","selfishness",-0.0028527551
"scale = 1","generosity",-0.034187334
"scale = 1","tradition
 compliance",0.4274061414
"scale = 1","reward
 labor",-0.14336529
"scale = 1","reward
 land",0.002969444
"scale = 1","reward
 resource",-0.180848256
"scale = 1","reward labor
 and land",-0.4249136396
"scale = 1","reward labor
 and resource",0.112269049
"scale = 1","reward land
 and resource",0.005211727
"scale = 1","reward
 all three",0.238310913
"scale = 1","selfishness",-0.27717491
"scale = 1","generosity",0.380860947
"scale = 1","tradition
 compliance",-0.1748302574
"scale = 1","reward
 labor",0.009818868
"scale = 1","reward
 land",-0.025434782
"scale = 1","reward
 resource",0.016017947
"scale = 1","reward labor
 and land",0.045013452
"scale = 1","reward labor
 and resource",-0.0502690051
"scale = 1","reward land
 and resource",0.12507888
"scale = 1","reward
 all three",-0.049081131
"scale = 1","selfishness",0.039744049
"scale = 1","generosity",-0.011195363
"scale = 1","tradition
 compliance",-0.035231588
"scale = 1","reward
 labor",-0.047877901
"scale = 1","reward
 land",0.008689911
"scale = 1","reward
 resource",0.457722401
"scale = 1","reward labor
 and land",-0.056551695
"scale = 1","reward labor
 and resource",0.001020408
"scale = 1","reward land
 and resource",-0.012147462
"scale = 1","reward
 all three",-0.344172751
"scale = 1","selfishness",0.1499428001
"scale = 1","generosity",0.07200036
"scale = 1","tradition
 compliance",0.060574011
"scale = 1","reward
 labor",0.0125250264
"scale = 1","reward
 land",-0.281220227
"scale = 1","reward
 resource",0.4374086041
"scale = 1","reward labor
 and land",-0.021910341
"scale = 1","reward labor
 and resource",-0.116379391
"scale = 1","reward land
 and resource",-0.090585552
"scale = 1","reward
 all three",-0.2223552807
"scale = 1","selfishness",0.080584463
"scale = 1","generosity",0.017020501
"scale = 1","tradition
 compliance",-0.461217661
"scale = 1","reward
 labor",-0.072194978
"scale = 1","reward
 land",0.007387635
"scale = 1","reward
 resource",-0.023820759
"scale = 1","reward labor
 and land",-0.001675767
"scale = 1","reward labor
 and resource",0.004269673
"scale = 1","reward land
 and resource",0.534316682
"scale = 1","reward
 all three",-0.084669777
"scale = 1","selfishness",-0.00190324900000001
"scale = 1","generosity",-0.010336142
"scale = 1","tradition
 compliance",0.0459339715
"scale = 1","reward
 labor",-0.347202645
"scale = 1","reward
 land",0.11793865
"scale = 1","reward
 resource",0.281385509
"scale = 1","reward labor
 and land",0.110379933
"scale = 1","reward labor
 and resource",-0.037457404
"scale = 1","reward land
 and resource",-0.213613063
"scale = 1","reward
 all three",0.0548744454
"scale = 1","selfishness",0.010572919
"scale = 1","generosity",0.028675494
"scale = 1","tradition
 compliance",-0.622465033
"scale = 1","reward
 labor",0.0526487771
"scale = 1","reward
 land",-0.0067655804
"scale = 1","reward
 resource",-0.0179546864
"scale = 1","reward labor
 and land",-0.022771704
"scale = 1","reward labor
 and resource",0.041337107
"scale = 1","reward land
 and resource",0.65017701
"scale = 1","reward
 all three",-0.11345431
"scale = 1","selfishness",-0.041114075
"scale = 1","generosity",-0.001922768
"scale = 1","tradition
 compliance",-0.563375403
"scale = 1","reward
 labor",0.0172812459
"scale = 1","reward
 land",-0.0290313828
"scale = 1","reward
 resource",0.0158018207
"scale = 1","reward labor
 and land",0.087238022
"scale = 1","reward labor
 and resource",-0.003712495
"scale = 1","reward land
 and resource",0.6794511276
"scale = 1","reward
 all three",-0.160616087
"scale = 1","selfishness",0.0954746505
"scale = 1","generosity",0.007921128
"scale = 1","tradition
 compliance",-0.674475956
"scale = 1","reward
 labor",-0.033390919
"scale = 1","reward
 land",-0.004840394
"scale = 1","reward
 resource",0.014843279
"scale = 1","reward labor
 and land",0.311546264
"scale = 1","reward labor
 and resource",0.0244792902
"scale = 1","reward land
 and resource",0.293197376
"scale = 1","reward
 all three",-0.034754725
"scale = 1","selfishness",-0.05340799
"scale = 1","generosity",0.00870513500000001
"scale = 1","tradition
 compliance",-0.024703519
"scale = 1","reward
 labor",0.290437733
"scale = 1","reward
 land",-0.058681052
"scale = 1","reward
 resource",-0.366339326
"scale = 1","reward labor
 and land",0.13857969
"scale = 1","reward labor
 and resource",0.024121657
"scale = 1","reward land
 and resource",-0.017514824
"scale = 1","reward
 all three",0.058802493
"scale = 1","selfishness",0.04830777
"scale = 1","generosity",0.074799772
"scale = 1","tradition
 compliance",-0.2103011182
"scale = 1","reward
 labor",-0.238749331
"scale = 1","reward
 land",0.008810348
"scale = 1","reward
 resource",-0.141801073
"scale = 1","reward labor
 and land",-0.00775441
"scale = 1","reward labor
 and resource",0.033541444
"scale = 1","reward land
 and resource",-0.0363756931
"scale = 1","reward
 all three",0.469522285
"scale = 1","selfishness",0.1062639291
"scale = 1","generosity",-0.560738843
"scale = 1","tradition
 compliance",-0.093003948
"scale = 1","reward
 labor",-0.103099939
"scale = 1","reward
 land",0.107608511
"scale = 1","reward
 resource",0.424214486
"scale = 1","reward labor
 and land",0.0985781482
"scale = 1","reward labor
 and resource",0.0363731758
"scale = 1","reward land
 and resource",-0.0387781426
"scale = 1","reward
 all three",0.022582636
"scale = 1","selfishness",-0.477556154
"scale = 1","generosity",0.1163450646
"scale = 1","tradition
 compliance",0.098179249
"scale = 1","reward
 labor",0.137026568
"scale = 1","reward
 land",-0.020868714
"scale = 1","reward
 resource",-0.016972811
"scale = 1","reward labor
 and land",-0.173299725
"scale = 1","reward labor
 and resource",-0.067131611
"scale = 1","reward land
 and resource",0.438261722
"scale = 1","reward
 all three",-0.033983577
"scale = 1","selfishness",0.006347744
"scale = 1","generosity",-0.044006539
"scale = 1","tradition
 compliance",-0.0282222664
"scale = 1","reward
 labor",-0.287932812
"scale = 1","reward
 land",0.067939227
"scale = 1","reward
 resource",0.294872254
"scale = 1","reward labor
 and land",-0.002661987
"scale = 1","reward labor
 and resource",0.079128671
"scale = 1","reward land
 and resource",-0.04031579
"scale = 1","reward
 all three",-0.045148511
"scale = 1","selfishness",-0.003650947
"scale = 1","generosity",0.102798475
"scale = 1","tradition
 compliance",0.384665194
"scale = 1","reward
 labor",0.040278773
"scale = 1","reward
 land",-0.117936976
"scale = 1","reward
 resource",-0.193871876
"scale = 1","reward labor
 and land",0.00287464
"scale = 1","reward labor
 and resource",-0.253406204
"scale = 1","reward land
 and resource",0.002331923
"scale = 1","reward
 all three",0.035917005
"scale = 1","selfishness",-0.002039265
"scale = 1","generosity",-0.135294168
"scale = 1","tradition
 compliance",0.1319638628
"scale = 1","reward
 labor",-0.3135915
"scale = 1","reward
 land",0.099903546
"scale = 1","reward
 resource",-0.043931134
"scale = 1","reward labor
 and land",0.036766473
"scale = 1","reward labor
 and resource",0.012508629
"scale = 1","reward land
 and resource",-0.088333691
"scale = 1","reward
 all three",0.3020472455
"scale = 1","selfishness",-0.12459509
"scale = 1","generosity",0.033770963
"scale = 1","tradition
 compliance",-0.004304369
"scale = 1","reward
 labor",-0.009355061
"scale = 1","reward
 land",0.3221859
"scale = 1","reward
 resource",-0.084390821
"scale = 1","reward labor
 and land",0.091800154
"scale = 1","reward labor
 and resource",-0.084998994
"scale = 1","reward land
 and resource",-0.304836003
"scale = 1","reward
 all three",0.164723312
"scale = 1","selfishness",0.121157094
"scale = 1","generosity",0.157499693
"scale = 1","tradition
 compliance",-0.009926619
"scale = 1","reward
 labor",0.006207433
"scale = 1","reward
 land",-0.133892433
"scale = 1","reward
 resource",-0.071603021
"scale = 1","reward labor
 and land",-0.066749589
"scale = 1","reward labor
 and resource",-0.128495709
"scale = 1","reward land
 and resource",-0.144787339
"scale = 1","reward
 all three",0.270590494
"scale = 1","selfishness",0.057914164
"scale = 1","generosity",-0.089536223
"scale = 1","tradition
 compliance",-0.044394082
"scale = 1","reward
 labor",-0.029539705
"scale = 1","reward
 land",-0.049143508
"scale = 1","reward
 resource",-0.0408379005
"scale = 1","reward labor
 and land",-0.05706231
"scale = 1","reward labor
 and resource",0.42361116
"scale = 1","reward land
 and resource",-0.176910041
"scale = 1","reward
 all three",0.00589844
"scale = 1","selfishness",-0.058936504
"scale = 1","generosity",0.345362831
"scale = 1","tradition
 compliance",0.073085857
"scale = 1","reward
 labor",-0.215714645
"scale = 1","reward
 land",-0.023827412
"scale = 1","reward
 resource",0.037389795
"scale = 1","reward labor
 and land",-0.036242741
"scale = 1","reward labor
 and resource",0.055835282
"scale = 1","reward land
 and resource",0.069617238
"scale = 1","reward
 all three",-0.246569704
"scale = 1","selfishness",0.400293172
"scale = 1","generosity",-0.234452961
"scale = 1","tradition
 compliance",-0.030779238
"scale = 1","reward
 labor",0.043455027
"scale = 1","reward
 land",0.019505126
"scale = 1","reward
 resource",-0.030119908
"scale = 1","reward labor
 and land",0.008674756
"scale = 1","reward labor
 and resource",-0.103319243
"scale = 1","reward land
 and resource",-0.299890946
"scale = 1","reward
 all three",0.226634215
"scale = 1","selfishness",-0.10488702
"scale = 1","generosity",0.057972512
"scale = 1","tradition
 compliance",-0.076204909
"scale = 1","reward
 labor",-0.098514138
"scale = 1","reward
 land",-0.009791255
"scale = 1","reward
 resource",0.226446453
"scale = 1","reward labor
 and land",-0.212175956
"scale = 1","reward labor
 and resource",-0.084117858
"scale = 1","reward land
 and resource",0.040988379
"scale = 1","reward
 all three",0.260283795
"scale = 1","selfishness",-0.00980906599999999
"scale = 1","generosity",0.080003494
"scale = 1","tradition
 compliance",0.0773906488
"scale = 1","reward
 labor",0.03267584
"scale = 1","reward
 land",0.142903165
"scale = 1","reward
 resource",-0.028047358
"scale = 1","reward labor
 and land",0.004349077
"scale = 1","reward labor
 and resource",0.200518604
"scale = 1","reward land
 and resource",-0.137978419
"scale = 1","reward
 all three",-0.362005988
"scale = 1","selfishness",0.017557246
"scale = 1","generosity",-0.015017522
"scale = 1","tradition
 compliance",-0.219955434
"scale = 1","reward
 labor",0.006112956
"scale = 1","reward
 land",-0.056366756
"scale = 1","reward
 resource",0.07690331
"scale = 1","reward labor
 and land",0.02720403
"scale = 1","reward labor
 and resource",-0.027697813
"scale = 1","reward land
 and resource",0.043784605
"scale = 1","reward
 all three",0.1474753786
"scale = 1","selfishness",-0.00801489499999999
"scale = 1","generosity",0.011110154
"scale = 1","tradition
 compliance",0.029297243
"scale = 1","reward
 labor",-0.100469239
"scale = 1","reward
 land",0.112469828
"scale = 1","reward
 resource",0.007364887
"scale = 1","reward labor
 and land",0.0293535861
"scale = 1","reward labor
 and resource",0.344271996
"scale = 1","reward land
 and resource",-0.044652969
"scale = 1","reward
 all three",-0.38073058
"scale = 1","selfishness",0.069544126
"scale = 1","generosity",0.030860237
"scale = 1","tradition
 compliance",-0.06163695
"scale = 1","reward
 labor",0.052783945
"scale = 1","reward
 land",-0.069351337
